Ref,Val,Package,PosX,PosY,Rot,Side
"","","",128.460500,-101.587000,0.000000,top
"","","",182.934500,-112.107000,-90.000000,top
"","","",162.496500,-20.307000,0.000000,top
"","","",160.210500,-20.307000,0.000000,top
"","","",142.565500,-114.200000,0.000000,top
"","","",157.162500,-20.307000,0.000000,top
"","","",158.940500,-20.307000,0.000000,top
"","","",301.180500,-3.289000,0.000000,top
"","","",140.482500,-116.408000,0.000000,top
"","","",143.446500,-101.841000,0.000000,top
"","","",303.452500,-16.821000,0.000000,top
"","","",174.632500,-114.323500,-90.000000,top
"","","",303.974500,-3.543000,0.000000,top
"","","",182.926500,-113.402000,-90.000000,top
"","","",305.535500,-14.600000,0.000000,top
"","","",148.780500,-101.841000,0.000000,top
"","","",305.535500,-14.613000,0.000000,top
"","","",304.401500,-14.599000,0.000000,top
"","","",174.618500,-113.078500,-90.000000,top
"","","",182.940500,-114.647000,-90.000000,top
"","","",160.718500,-20.307000,0.000000,top
"","","",141.431500,-114.186000,0.000000,top
"","","",174.626500,-111.783500,-90.000000,top
"K1","KEYSW","Mx-1.00U",9.525000,-9.525000,0.000000,top
"K3","KEYSW","Mx-1.00U",47.625000,-9.525000,0.000000,top
"K4","KEYSW","Mx-1.00U",66.675000,-9.525000,0.000000,top
"K5","KEYSW","Mx-1.00U",85.725000,-9.525000,0.000000,top
"K6","KEYSW","Mx-1.00U",104.775000,-9.525000,0.000000,top
"K7","KEYSW","Mx-1.00U",133.350000,-9.525000,0.000000,top
"K8","KEYSW","Mx-1.00U",152.400000,-9.525000,0.000000,top
"K9","KEYSW","Mx-1.00U",171.450000,-9.525000,0.000000,top
"K10","KEYSW","Mx-1.00U",190.500000,-9.525000,0.000000,top
"K11","KEYSW","Mx-1.00U",219.075000,-9.525000,0.000000,top
"K12","KEYSW","Mx-1.00U",238.125000,-9.525000,0.000000,top
"K13","KEYSW","Mx-1.00U",257.175000,-9.525000,0.000000,top
"K14","KEYSW","Mx-1.00U",276.225000,-9.525000,0.000000,top
"K15","KEYSW","Mx-1.00U",305.525000,-9.525000,0.000000,top
"K16","KEYSW","Mx-1.00U",324.575000,-9.525000,0.000000,top
"K17","KEYSW","Mx-1.00U",343.625000,-9.525000,0.000000,top
"K18","KEYSW","Mx-1.00U",362.675000,-9.525000,0.000000,top
"K19","KEYSW","Mx-1.00U",9.525000,-37.325000,0.000000,top
"K20","KEYSW","Mx-1.00U",28.575000,-37.325000,0.000000,top
"K21","KEYSW","Mx-1.00U",47.625000,-37.325000,0.000000,top
"K22","KEYSW","Mx-1.00U",66.675000,-37.325000,0.000000,top
"K23","KEYSW","Mx-1.00U",85.725000,-37.325000,0.000000,top
"K24","KEYSW","Mx-1.00U",104.775000,-37.325000,0.000000,top
"K25","KEYSW","Mx-1.00U",123.825000,-37.325000,0.000000,top
"K26","KEYSW","Mx-1.00U",142.875000,-37.325000,0.000000,top
"K27","KEYSW","Mx-1.00U",161.925000,-37.325000,0.000000,top
"K28","KEYSW","Mx-1.00U",180.975000,-37.325000,0.000000,top
"K29","KEYSW","Mx-1.00U",200.025000,-37.325000,0.000000,top
"K30","KEYSW","Mx-1.00U",219.075000,-37.325000,0.000000,top
"K31","KEYSW","Mx-1.00U",238.125000,-37.325000,0.000000,top
"K32","KEYSW","Mx-2.00U",266.700000,-37.325000,0.000000,top
"K33","KEYSW","Mx-1.00U",305.525000,-37.325000,0.000000,top
"K34","KEYSW","Mx-1.00U",324.575000,-37.325000,0.000000,top
"K35","KEYSW","Mx-1.00U",343.625000,-37.325000,0.000000,top
"K36","KEYSW","Mx-1.00U",362.675000,-37.325000,0.000000,top
"K37","KEYSW","Mx-1.50U",14.287500,-56.375000,0.000000,top
"K38","KEYSW","Mx-1.00U",38.100000,-56.375000,0.000000,top
"K39","KEYSW","Mx-1.00U",57.150000,-56.375000,0.000000,top
"K40","KEYSW","Mx-1.00U",76.200000,-56.375000,0.000000,top
"K41","KEYSW","Mx-1.00U",95.250000,-56.375000,0.000000,top
"K42","KEYSW","Mx-1.00U",114.300000,-56.375000,0.000000,top
"K43","KEYSW","Mx-1.00U",133.350000,-56.375000,0.000000,top
"K44","KEYSW","Mx-1.00U",152.400000,-56.375000,0.000000,top
"K45","KEYSW","Mx-1.00U",171.450000,-56.375000,0.000000,top
"K46","KEYSW","Mx-1.00U",190.500000,-56.375000,0.000000,top
"K47","KEYSW","Mx-1.00U",209.550000,-56.375000,0.000000,top
"K48","1U","Mx-1.00U",228.600000,-56.375000,0.000000,top
"K49","KEYSW","Mx-1.00U",247.650000,-56.375000,0.000000,top
"K50","KEYSW","Mx-1.50U",271.462500,-56.375000,0.000000,top
"K51","KEYSW","Mx-1.00U",305.525000,-56.375000,0.000000,top
"K52","KEYSW","Mx-1.00U",324.575000,-56.375000,0.000000,top
"K53","KEYSW","Mx-1.00U",343.625000,-56.375000,0.000000,top
"K54","KEYSW","Mx-2.00U",362.675000,-65.900000,-90.000000,top
"K55","KEYSW","Mx-1.75U",16.668750,-75.425000,0.000000,top
"K55-2","KEYSW","CHERRY_PLATE_125H",11.912500,-75.425000,0.000000,top
"K56","KEYSW","Mx-1.00U",42.862500,-75.425000,0.000000,top
"K57","KEYSW","Mx-1.00U",61.912500,-75.425000,0.000000,top
"K58","KEYSW","Mx-1.00U",80.962500,-75.425000,0.000000,top
"K59","KEYSW","Mx-1.00U",100.012500,-75.425000,0.000000,top
"K60","KEYSW","Mx-1.00U",119.062500,-75.425000,0.000000,top
"K61","KEYSW","Mx-1.00U",138.112500,-75.425000,0.000000,top
"K62","KEYSW","Mx-1.00U",157.162500,-75.425000,0.000000,top
"K63","KEYSW","Mx-1.00U",176.212500,-75.425000,0.000000,top
"K64","KEYSW","Mx-1.00U",195.262500,-75.425000,0.000000,top
"K65","KEYSW","Mx-1.00U",214.312500,-75.425000,0.000000,top
"K66","KEYSW","Mx-1.00U",233.362500,-75.425000,0.000000,top
"K67","KEYSW","Mx-1.00U",252.412694,-75.424984,0.000000,top
"K68","KEYSW","Mx-2.25U",264.318750,-75.425000,0.000000,top
"K68-1","KEYSW","CHERRY_PCB_200H_V",273.843962,-65.899976,0.000000,top
"K69","KEYSW","Mx-1.00U",305.525000,-75.425000,0.000000,top
"K70","KEYSW","Mx-1.00U",324.575000,-75.425000,0.000000,top
"K71","KEYSW","Mx-1.00U",343.625000,-75.425000,0.000000,top
"K73","KEYSW","Mx-2.25U",21.431250,-94.475000,0.000000,top
"K73-1","KEYSW","CHERRY_PLATE_125H",11.906242,-94.475000,0.000000,top
"K74","KEYSW","Mx-1.00U",33.337510,-94.475000,0.000000,top
"K75","KEYSW","Mx-1.00U",52.387500,-94.475000,0.000000,top
"K76","KEYSW","Mx-1.00U",71.437500,-94.475000,0.000000,top
"K77","KEYSW","Mx-1.00U",90.487500,-94.475000,0.000000,top
"K78","KEYSW","Mx-1.00U",109.537500,-94.475000,0.000000,top
"K79","KEYSW","Mx-1.00U",128.587500,-94.475000,0.000000,top
"K80","KEYSW","Mx-1.00U",147.637500,-94.475000,0.000000,top
"K81","KEYSW","Mx-1.00U",166.687500,-94.475000,0.000000,top
"K82","KEYSW","Mx-1.00U",185.737500,-94.475000,0.000000,top
"K83","KEYSW","Mx-1.00U",204.787500,-94.475000,0.000000,top
"K84","KEYSW","Mx-1.00U",223.837500,-94.475000,0.000000,top
"K85","KEYSW","Mx-1.75U",250.031250,-94.475000,0.000000,top
"K86","KEYSW","Mx-1.00U",281.225000,-99.475000,0.000000,top
"K87","KEYSW","Mx-1.00U",305.525000,-94.475000,0.000000,top
"K88","KEYSW","Mx-1.00U",324.575000,-94.475000,0.000000,top
"K89","KEYSW","Mx-1.00U",343.625000,-94.475000,0.000000,top
"K90","KEYSW","Mx-2.00U",362.675000,-104.000000,-90.000000,top
"K91","KEYSW","CHERRY_PLATE_125H",11.906250,-113.525000,0.000000,top
"K91-2","KEYSW","CHERRY_PLATE_150H",14.292500,-113.525000,0.000000,top
"K92","KEYSW","CHERRY_PLATE_100H",33.337500,-113.525000,0.000000,top
"K92-2","KEYSW","CHERRY_PLATE_125H",35.702500,-113.525000,0.000000,top
"K93","KEYSW","CHERRY_PLATE_125H",54.768750,-113.525000,0.000000,top
"K93-2","KEYSW","CHERRY_PLATE_150H",42.850000,-113.525000,0.000000,top
"K93-3","KEYSW","CHERRY_PLATE_125H",59.502500,-113.525000,0.000000,top
"K97","KEYSW","CHERRY_PCB_625H",126.206250,-113.525000,0.000000,top
"K97-2","KEYSW","CHERRY_PCB_625H",123.802500,-113.525000,0.000000,top
"K97-3","KEYSW","CHERRY_PCB_625H",130.942500,-113.525000,0.000000,top
"K100","KEYSW","CHERRY_PLATE_100H",195.262500,-113.525000,0.000000,top
"K100-2","KEYSW","CHERRY_PLATE_150H",204.772500,-113.525000,0.000000,top
"K101","KEYSW","CHERRY_PLATE_100H",214.312500,-113.525000,0.000000,top
"K102","KEYSW","CHERRY_PLATE_125H",235.743750,-113.525000,0.000000,top
"K102-2","KEYSW","CHERRY_PLATE_150H",233.362500,-113.525000,0.000000,top
"K103","KEYSW","Mx-1.00U",262.175000,-118.525000,0.000000,top
"K104","KEYSW","Mx-1.00U",281.225000,-118.525000,0.000000,top
"K105","1U","Mx-1.00U",300.275000,-118.525000,0.000000,top
"K106","KEYSW","Mx-1.00U",324.575000,-113.525000,0.000000,top
"K107","KEYSW","Mx-1.00U",343.625000,-113.525000,0.000000,top
"L1","LED","LED_D3.0mm",305.500000,-42.405000,0.000000,top
"L1","LED","LED_D3.0mm",301.175000,-23.425000,0.000000,top
"L2","LED","LED_D3.0mm",326.175000,-23.425000,0.000000,top
"L3","LED","LED_D3.0mm",351.175000,-23.425000,0.000000,top
"REF**","plate_mount","plate_mount",195.262500,-113.525000,0.000000,top
"REF**","plate_mount","plate_mount",11.906250,-113.525000,0.000000,top
"REF**","plate_mount","plate_mount",16.668750,-75.425000,0.000000,top
"REF**","plate_mount","plate_mount",133.350000,-56.375000,0.000000,top
"REF**","plate_mount_tht","plate_mount_tht",276.225000,-9.525000,0.000000,top
"REF**","plate_mount","plate_mount",57.150000,-56.375000,0.000000,top
"REF**","plate_mount","plate_mount",228.600000,-56.375000,0.000000,top
"REF**","plate_mount","plate_mount",343.625000,-113.525000,0.000000,top
"REF**","plate_mount","plate_mount",362.675000,-37.325000,0.000000,top
"REF**","plate_mount","plate_mount",362.675000,-9.525000,0.000000,top
"REF**","plate_mount","plate_mount",190.500000,-9.525000,0.000000,top
"REF**","plate_mount","plate_mount",300.373842,-118.525000,0.000000,top
"REF**","plate_mount","plate_mount",104.775000,-9.525000,0.000000,top
"REF**","plate_mount","plate_mount",235.743750,-113.525000,0.000000,top
