Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,1u,805,289.917235,-22.442159,0,bottom
C103,0.1u,805,275.034398,-42.087488,180,bottom
C104,0.1u,805,297.060979,-46.849992,0,bottom
C105,0.1u,805,289.917235,-24.823411,0,bottom
C106,0.1u,805,277.415662,-34.943732,180,bottom
C107,4.7u,805,277.41565,-26.014037,180,bottom
D1,Diode,805,36.314085,-11.310939,90,bottom
D3,Diode,805,39.885963,-11.310939,90,bottom
D4,Diode,805,74.414117,-11.310939,90,bottom
D5,Diode,805,77.985995,-11.310939,90,bottom
D6,Diode,805,112.514149,-11.310939,90,bottom
D7,Diode,805,141.089173,-11.310939,90,bottom
D8,Diode,805,160.139189,-11.310939,90,bottom
D9,Diode,805,163.711067,-11.310939,90,bottom
D10,Diode,805,198.239221,-11.310939,90,bottom
D11,Diode,805,226.814245,-11.310939,90,bottom
D12,Diode,805,245.864261,-11.310939,90,bottom
D13,Diode,805,249.436139,-11.310939,90,bottom
D14,Diode,805,283.964293,-11.310939,90,bottom
D15,Diode,805,313.134638,-11.310939,90,bottom
D16,Diode,805,316.835947,-11.310939,90,bottom
D17,Diode,805,335.885963,-11.310939,90,bottom
D18,Diode,805,332.314085,-11.310939,90,bottom
D19,Diode,805,17.264069,-39.110939,90,bottom
D20,Diode,805,36.314085,-39.110939,90,bottom
D21,Diode,805,55.364101,-39.110939,90,bottom
D22,Diode,805,74.414117,-39.110939,90,bottom
D23,Diode,805,93.464133,-39.110939,90,bottom
D24,Diode,805,112.514149,-39.110939,90,bottom
D25,Diode,805,131.564165,-39.110939,90,bottom
D26,Diode,805,150.614181,-39.110939,90,bottom
D27,Diode,805,169.664197,-39.110939,90,bottom
D28,Diode,805,188.714213,-39.110939,90,bottom
D29,Diode,805,207.764229,-39.110939,90,bottom
D30,Diode,805,226.814245,-39.110939,90,bottom
D31,Diode,805,245.864251,-39.110891,90,bottom
D32,Diode,805,249.436135,-39.110891,90,bottom
D33,Diode,805,313.264069,-39.110939,90,bottom
D34,Diode,805,316.835947,-39.110939,90,bottom
D35,Diode,805,335.885963,-39.110939,90,bottom
D36,Diode,805,332.314085,-39.110939,90,bottom
D37,Diode,805,22.026569,-58.160939,90,bottom
D38,Diode,805,30.360951,-58.160939,90,bottom
D39,Diode,805,64.889105,-58.160939,90,bottom
D40,Diode,805,68.460983,-58.160939,90,bottom
D41,Diode,805,102.989137,-58.160939,90,bottom
D42,Diode,805,106.561015,-58.160939,90,bottom
D43,Diode,805,141.089169,-58.160939,90,bottom
D44,Diode,805,160.139185,-58.160939,90,bottom
D45,Diode,805,179.189201,-58.160939,90,bottom
D46,Diode,805,198.239117,-58.160939,90,bottom
D47,Diode,805,201.811095,-58.160939,90,bottom
D48,Diode,805,236.339149,-58.160939,90,bottom
D49,Diode,805,255.389069,-58.160939,90,bottom
D50,Diode,805,258.960947,-58.160939,90,bottom
D51,Diode,805,313.264069,-58.160939,90,bottom
D52,Diode,805,316.835947,-58.160939,90,bottom
D53,Diode,805,335.885963,-58.160939,90,bottom
D54,Diode,805,332.314085,-58.160939,90,bottom
D55,Diode,805,24.407821,-77.210955,90,bottom
D56,Diode,805,50.601593,-77.210955,90,bottom
D57,Diode,805,69.651609,-77.210955,90,bottom
D58,Diode,805,88.701625,-77.210955,90,bottom
D59,Diode,805,107.751641,-77.210955,90,bottom
D60,Diode,805,126.801657,-77.210955,90,bottom
D61,Diode,805,145.851673,-77.210955,90,bottom
D62,Diode,805,164.901689,-77.210955,90,bottom
D63,Diode,805,183.951705,-77.210955,90,bottom
D64,Diode,805,203.001721,-77.210955,90,bottom
D65,Diode,805,222.051737,-77.210955,90,bottom
D66,Diode,805,225.623615,-77.210955,90,bottom
D67,Diode,805,244.673631,-77.210955,90,bottom
D68,Diode,805,241.101569,-77.210955,90,bottom
D69,Diode,805,313.264069,-77.210955,90,bottom
D70,Diode,805,316.835947,-77.210955,90,bottom
D71,Diode,805,335.885931,-77.210955,90,bottom
D73,Diode,805,44.648463,-96.260971,90,bottom
D74,Diode,805,41.076585,-96.260971,90,bottom
D75,Diode,805,60.126601,-96.260971,90,bottom
D76,Diode,805,79.176617,-96.260971,90,bottom
D77,Diode,805,98.226633,-96.260971,90,bottom
D78,Diode,805,117.276649,-96.260971,90,bottom
D79,Diode,805,136.326665,-96.260971,90,bottom
D80,Diode,805,155.376681,-96.260971,90,bottom
D81,Diode,805,174.426697,-96.260971,90,bottom
D82,Diode,805,193.476713,-96.260971,90,bottom
D83,Diode,805,212.526729,-96.260971,90,bottom
D84,Diode,805,231.576745,-96.260971,90,bottom
D85,Diode,805,257.770517,-96.260971,90,bottom
D86,Diode,805,288.964085,-101.260923,90,bottom
D87,Diode,805,313.264069,-96.260971,90,bottom
D88,Diode,805,316.835947,-96.260971,90,bottom
D89,Diode,805,335.885947,-96.260971,90,bottom
D90,Diode,805,332.314085,-96.260971,90,bottom
D91,Diode,805,22.0316,-115.310939,90,bottom
D92,Diode,805,25.5984,-115.310939,90,bottom
D93,Diode,805,88.9045,-115.310939,90,bottom
D97,Diode,805,116.063,-115.310939,90,bottom
D100,Diode,805,168.244,-115.310939,90,bottom
D101,Diode,805,222.052,-115.310939,90,bottom
D102,Diode,805,243.482819,-115.310939,90,bottom
D103,Diode,805,269.914069,-120.310939,90,bottom
D104,Diode,805,273.485947,-120.310939,90,bottom
D105,Diode,805,308.014101,-120.310939,90,bottom
D106,Diode,805,316.835931,-115.310939,90,bottom
D107,Diode,805,332.314069,-115.310939,90,bottom
F1,"500mA, 1A",805,254.232713,-25.670337,180,bottom
R1,1k,805,305.614045,-22.809374,-90,bottom
R2,1k,805,322.285955,-22.809374,-90,bottom
R3,1k,805,355.620337,-22.809374,-90,bottom
R101,22,805,254.232713,-20.907833,180,bottom
R102,22,805,254.232713,-23.289085,180,bottom
R104,10k,805,283.964093,-22.442159,180,bottom
R105,10k,805,282.178166,-49.231228,0,bottom
SW1,Reset,SMD,265.509598,-24.407833,0,bottom
U1,ATmega32U4,QFP-44,287.535983,-38.51561,0,bottom
U2,USBLC6-2SC6,SOT-23-6L,247.7,-23.5,180,bottom
X1,Resonator_16MHz_SMD,SMD,297.060991,-31.371838,180,bottom
J1,USB,SMD,236.675,-23.125,90,bottom
